City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,san jose,37.3394,-121.895,289.75,72,20,8.49,US,1682305064
297,arteche,12.2645,125.4048,300.69,85,41,2.7,PH,1682305643
298,antsiranana,-12.2787,49.2917,296.6,93,28,2.57,MG,1682305644
299,ola,59.5833,151.2833,275.49,72,100,6.45,RU,1682305644
300,golfito,8.639,-83.166,297.4,92,9,1.34,CR,1682305500
301,sol'-iletsk,51.1631,54.9918,283.54,61,3,0.9,RU,1682305646
302,safotu,-13.4513,-172.4018,300.44,80,75,1.72,WS,1682305646
303,constantia,44.1833,28.65,278.54,78,3,2.28,RO,1682305647
304,port macquarie,-31.4333,152.9167,291.98,69,77,5.19,AU,1682305455
305,jeronimo monteiro,-20.7894,-41.395,291.91,92,74,0.69,BR,1682305649
306,mount isa,-20.7333,139.5,303.02,32,28,5.66,AU,1682305649
307,balabac,7.9868,117.0645,303.34,69,100,4.82,PH,1682305650
308,yaren,-0.5472,166.916,301.88,76,74,4.69,NR,1682305650
309,quincy,42.2529,-71.0023,285.18,93,100,2.57,US,1682305595
310,bokoro,12.3807,17.0568,304.94,22,99,4.81,TD,1682305652
311,kapa'a,22.0752,-159.319,299.33,85,100,4.63,US,1682305653
312,boyolangu,-8.1181,111.8935,302.43,73,60,1.6,ID,1682305653
313,mogocha,53.7333,119.7667,273.93,55,100,3.41,RU,1682305654
314,andovoranto,-18.95,49.1,296.39,93,16,2.38,MG,1682305655
315,jambi city,-1.6,103.6167,301.99,81,81,0.94,ID,1682305372
316,kolwezi,-10.7148,25.4667,288.01,94,99,1.87,CD,1682305656
317,kuanda,56.3161,116.0806,271.91,48,100,4.38,RU,1682305656
318,college,64.8569,-147.8028,265.7,66,100,8.23,US,1682305419
319,yuanlin,30.4151,112.8859,281.7,90,100,5.57,CN,1682305658
320,lihue,21.9789,-159.3672,298.92,84,100,4.63,US,1682305658
321,osinniki,53.6239,87.3598,278.76,62,100,1.57,RU,1682305659
322,pandan,14.0453,124.1694,301.79,68,25,5.05,PH,1682305659
323,port arthur,38.8,121.2667,289.27,40,98,2.51,CN,1682305660
324,leirvik,59.7798,5.5005,281.28,87,100,1.06,NO,1682305660
325,pampas,-12.4,-74.9,282.67,92,100,0.7,PE,1682305660
326,ypsonas,34.6884,32.9574,288.69,72,0,4.63,CY,1682305661
327,sur,22.5667,59.5289,302.34,56,100,2.85,OM,1682305492
328,bria,6.5423,21.9863,295.19,92,99,1.18,CF,1682305662
329,las tablas,7.7667,-80.2833,298.25,99,88,0.36,PA,1682305662
330,buzdyak,54.5833,54.55,283.43,57,9,2.93,RU,1682305663
331,pratt,37.6439,-98.7376,285.27,24,0,4.12,US,1682305424
332,aoulef,26.9667,1.0833,298.36,17,5,7.43,DZ,1682305663
333,maues,-3.3836,-57.7186,295.89,95,100,1.19,BR,1682305662
334,weno,7.4515,151.8468,305.12,74,40,1.54,FM,1682305664
335,keflavik,64.0049,-22.5624,276.39,70,40,0.51,IS,1682305665
336,remire-montjoly,4.9167,-52.2667,297.17,100,100,0.0,GF,1682305665
337,khairpur tamewah,29.5811,72.2364,301.79,15,0,2.8,PK,1682305666
338,kununurra,-15.7667,128.7333,304.14,40,2,4.63,AU,1682305666
339,puerto aysen,-45.4,-72.7,281.65,97,15,1.09,CL,1682305667
340,ulaangom,49.9811,92.0667,278.35,29,100,1.67,MN,1682305667
341,cozumel,20.5083,-86.9458,297.56,83,59,4.39,MX,1682305399
342,coquimbo,-29.9533,-71.3436,287.0,94,75,1.54,CL,1682305668
343,huancavelica,-12.7667,-74.9833,277.16,87,100,0.63,PE,1682305668
344,mersa matruh,31.3525,27.2453,290.02,85,0,4.66,EG,1682305669
345,albertina,-22.2008,-46.6158,287.95,75,37,1.97,BR,1682305669
346,paradip garh,20.3167,86.6167,302.62,67,18,3.07,IN,1682305670
347,siwa oasis,29.2041,25.5195,293.14,42,0,5.69,EG,1682305670
348,brookings,44.3114,-96.7984,276.15,54,0,0.0,US,1682305401
349,tanjung sepat,2.6579,101.5629,305.84,66,20,1.03,MY,1682305671
